"d3f4bfb4279a4bd089ad","aip","00 07 ? * FRI *"
"956d6587b6ec61f98a93","arag","00 07 ? * FRI *"
"c1eb20ee50203635e5a7","daily","00 07 * * ? *"
"f7b4de7d62be94258595","aetna","00 07 ? * THU *"
"ff4f8a24169fe66e3b1b","cigna","00 07 ? * THU *"
"3063bd78861d64364923","compsych","00 07 ? * THU *"
"cebd883425e21e0e7a03","delta_dental","00 07 ? * THU *"
"e747c5a0b687527f0528","safetyskills","00 07 ? * THU *"
"cb0ff118a087b8cb6744","monthly","00 09 1 * ? *"
"62e40d8d2c82353fd694","aclara","00 07 ? * MON-FRI *"
"0a719cef7d43f4d70713","paymentus_cif","00 23 ? * MON-FRI *"
"7054a71026d318d4203b","paymentus_payment_history","15 22 ? * MON-FRI *"
"32765561f28005176050","paymentus_suspended_accounts","30 22 ? * MON-FRI *"
"ae5d4ccbdb06842b2a93","paymentus_paper_suppression","00 12 ? * * *"
"b05e6e5ebda3e6980a00","vxsmart_balances","00 08 ? * * *"
"cecd32c4d12e570f1c73","notactive","00 00 * * ? 1999"
"36db8e948e5d05ff3904","every15","* * * * ? *"
